"Pathway1 KEGG","Pathway2 KEGG","Connecting reactions","Connection metabolites"
"map00100","map00100","R00702|R01451|R01456|R01457|R01461|R01462|R02116|R02692|R02872|R02874|R03199|R03200|R03310|R03311|R03353|R03610|R03611|R03677|R03689|R03724|R03775|R04427|R04667|R04804|R05639|R05640|R05641|R05703|R05731|R05776|R07215|R07481|R07482|R07483|R07484|R07485|R07486|R07487|R07488|R07489|R07490|R07491|R07492|R07493|R07494|R07495|R07496|R07497|R07498|R07499|R07505|R07506|R07507|R07509|R09515|R09516","C00448|C00013|C03428|C00187|C00003|C01164|C00004|C00080|C00006|C00005|C01802|C00040|C00010|C02530|C00001|C00162|C00370|C01054|C00641|C01885|C00751|C00007|C01724|C01902|C01189|C00205|C05443|C03845|C01561|C01673|C01694|C05441|C05109|C00028|C05107|C00030|C02141|C01943|C00019|C05437|C00021|C04525|C05439|C05108|C11455|C00058|C05440|C11508|C11522|C11523|C08830|C15776|C15782|C15783|C08821|C01753|C05442|C15777|C15780|C15781|C01789|C15808|C15816|C00011|C05103|C15915|C15778|C18231|C07712"
"map00100","map00120","",""
"map00100","map00140","",""
"map00100","map00984","",""
"map00100","map00900","",""
"map00120","map00100","",""
"map00120","map00120","R01463|R02794|R02797|R03718|R03719|R03720|R03974|R03975|R03977|R04263|R04806|R04807|R04808|R04809|R04810|R04811|R04812|R04813|R04817|R04818|R04819|R04823|R04824|R04825|R04826|R05835|R07207|R07208|R07209|R07218|R07296|R07372|R08505|R08721|R08723|R08724|R08725|R08726|R08727|R08728|R08733|R08734|R08735|R08738|R08739|R08740|R08743|R08744|R08745|R08758|R08759|R08760|R08761","C00187|C00007|C00005|C00080|C03594|C00006|C00001|C00002|C00695|C00010|C00020|C00013|C01794|C05122|C00245|C00037|C01921|C00100|C05467|C02528|C05337|C05466|C05465|C00003|C05455|C00004|C05452|C05444|C05454|C05446|C05468|C05447|C05448|C05449|C05450|C05460|C05451|C05453|C17339|C13550|C15518|C15519|C15520|C00030|C00028|C15610|C06341|C17331|C17332|C17336|C17337|C17333|C17335|C04722|C15613|C17343|C04554|C17345|C17346|C05445|C01301"
"map00120","map00121","",""
"map00121","map00121","",""
"map00121","map00120","",""
"map00121","map00120","",""
"map00121","map00120","",""
"map00121","map00120","",""
