"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"16","map00140","R02355"
"16","map00140","R02356"
"16","map00140","R02358"
"16","map00140","R02476"
"16","map00140","R02477"
"16","map00140","R02478"
"16","map00140","R02497"
"16","map00140","R02498"
"16","map00140","R02499"
"16","map00140","R02501"
"16","map00140","R02502"
"16","map00140","R02503"
"16","map00140","R02723"
"16","map00140","R02725"
"16","map00140","R02834"
"16","map00140","R02836"
"16","map00140","R02838"
"16","map00140","R02840"
"16","map00140","R02841"
"16","map00140","R02843"
"16","map00140","R02893"
"16","map00140","R03086"
"16","map00140","R03087"
"16","map00140","R03088"
"16","map00140","R03089"
"16","map00140","R03090"
"16","map00140","R03091"
"16","map00140","R03262"
"16","map00140","R03263"
"16","map00140","R03325"
"16","map00140","R03326"
"16","map00140","R03327"
"16","map00140","R03329"
"16","map00140","R03404"
"16","map00140","R03405"
"16","map00140","R03406"
"16","map00140","R03407"
"16","map00140","R03408"
"16","map00140","R03713"
"16","map00140","R03783"
"16","map00140","R03784"
"16","map00140","R03847"
"16","map00140","R03848"
"16","map00140","R03849"
"16","map00140","R03851"
"16","map00140","R03933"
"16","map00140","R03980"
"16","map00140","R04163"
"16","map00140","R04309"
"16","map00140","R04310"
"16","map00140","R04352"
"16","map00140","R04353"
"16","map00140","R04354"
"16","map00140","R04675"
"16","map00140","R04676"
"16","map00140","R04678"
"16","map00140","R04681"
"16","map00140","R04682"
"16","map00140","R04683"
"16","map00140","R04758"
"16","map00140","R04759"
"16","map00140","R04760"
"16","map00140","R04761"
"16","map00140","R04762"
"16","map00140","R04764"
"16","map00140","R04829"
"16","map00140","R04830"
"16","map00140","R04831"
"16","map00140","R04832"
"16","map00140","R04833"
"16","map00140","R04834"
"16","map00140","R04835"
"16","map00140","R04836"
"16","map00140","R04837"
"16","map00140","R04838"
"16","map00140","R04840"
"16","map00140","R04842"
"16","map00140","R04843"
"16","map00140","R04844"
"16","map00140","R04845"
"16","map00140","R04846"
"16","map00140","R04847"
"16","map00140","R04849"
"16","map00140","R04850"
"16","map00140","R04852"
"16","map00140","R04853"
"16","map00140","R04854"
"16","map00140","R04855"
"16","map00140","R08516"
"16","map00140","R08517"
"16","map00140","R08518"
"16","map00140","R08941"
"16","map00140","R08942"
"16","map00140","R08943"
"16","map00140","R08945"
"16","map00140","R08953"
"16","map00140","R08954"
"16","map00140","R08955"
"16","map00140","R08957"
"16","map00140","R08958"
"16","map00140","R08959"
"16","map00140","R08960"
"16","map00140","R08961"
"16","map00140","R08963"
"16","map00140","R08977"
"16","map00140","R08978"
"16","map00140","R08980"
"16","map00140","R08994"
"16","map00140","R08995"
"16","map00140","R10242"
"20","map00230","R00086"
"20","map00230","R00087"
"20","map00230","R00089"
"20","map00230","R00122"
"20","map00230","R00124"
"20","map00230","R00125"
"20","map00230","R00126"
"20","map00230","R00127"
"20","map00230","R00128"
"20","map00230","R00131"
"20","map00230","R00150"
"20","map00230","R00181"
"20","map00230","R00182"
"20","map00230","R00183"
"20","map00230","R00184"
"20","map00230","R00185"
"20","map00230","R00187"
"20","map00230","R00190"
"20","map00230","R00191"
"20","map00230","R00200"
"20","map00230","R00322"
"20","map00230","R00328"
"20","map00230","R00330"
"20","map00230","R00332"
"20","map00230","R00333"
"20","map00230","R00335"
"20","map00230","R00336"
"20","map00230","R00375"
"20","map00230","R00376"
"20","map00230","R00426"
"20","map00230","R00429"
"20","map00230","R00430"
"20","map00230","R00434"
"20","map00230","R00435"
"20","map00230","R00437"
"20","map00230","R00439"
"20","map00230","R00441"
"20","map00230","R00469"
"20","map00230","R00507"
"20","map00230","R00509"
"20","map00230","R00529"
"20","map00230","R00719"
"20","map00230","R00720"
"20","map00230","R00722"
"20","map00230","R00723"
"20","map00230","R00776"
"20","map00230","R00961"
"20","map00230","R01049"
"20","map00230","R01053"
"20","map00230","R01054"
"20","map00230","R01057"
"20","map00230","R01072"
"20","map00230","R01083"
"20","map00230","R01126"
"20","map00230","R01127"
"20","map00230","R01128"
"20","map00230","R01130"
"20","map00230","R01131"
"20","map00230","R01132"
"20","map00230","R01134"
